,name,rating,avg_salary,jobs,benefits,type_of_company,team_size,how_old,city,positives,negatives
3040,Tommy Hilfiger,4.3,979,0,25,Fashion & Textile,1.0,39,Amsterdam,"['Company Culture', ' Skill Development / Learning', ' Work Life Balance']",['nan']
3041,Khimji Ramdas,4.0,852,27,26,Other,201.0,154,Muscat,"['Job Security', ' Work Life Balance']",['Promotions / Appraisal']
3042,ServiceNow,4.0,3400,34,20,Software Product,1.0,20,Santa clara,"['Salary & Benefits', ' Company Culture', ' Job Security']",['nan']
3043,MobileComm Technologies India,3.8,1100,1,28,Telecom,201.0,22,Richardson,['nan'],"['Promotions / Appraisal', ' Job Security']"
3044,Sterling Oil Exploration & Energy Production,3.7,908,2,25,Oil & Gas,51.0,19,Lagos,['nan'],"['Promotions / Appraisal', ' Work Life Balance']"
3045,Roki Minda Co,4.5,877,0,29,Auto Components,51.0,14,Bawal,"['Company Culture', ' Work Life Balance', ' Job Security']",['nan']
3046,Health India Tpa Services,3.4,1300,9,28,Insurance,51.0,22,Mumbai,['nan'],"['Promotions / Appraisal', ' Work Satisfaction', ' Company Culture']"
3047,Aeronautical Development Agency,4.2,1800,0,24,Defence & Aerospace,501.0,40,Bengaluru,"['Work Life Balance', ' Skill Development / Learning', ' Company Culture']",['nan']
3048,“Bharat Financial Inclusion Limited”,4.4,243,0,0,,,,Hyderabad/secunderabad,"['Promotions / Appraisal', ' Salary & Benefits', ' Company Culture']",['nan']
3049,Onsitego,3.9,1000,79,36,Consumer Electronics & Appliances,1.0,14,Mumbai,['Salary & Benefits'],['nan']
3050,Rimjhim Ispat,3.4,796,26,8,Iron & Steel,1.0,30,Kanpur,['nan'],"['Promotions / Appraisal', ' Job Security', ' Company Culture']"
3051,SiliconIndia,2.5,1700,1,10,Printing & Publishing,1.0,27,Bengaluru,['nan'],"['Work Satisfaction', ' Company Culture', ' Promotions / Appraisal']"
3052,ReachLocal Services,3.8,959,25,24,Marketing & Advertising,501.0,14,Mumbai,"['Work Life Balance', ' Company Culture', ' Skill Development / Learning']",['Promotions / Appraisal']
3053,Titan Laboratories,3.7,827,21,58,Pharma,201.0,20,Mumbai,['Job Security'],"['Promotions / Appraisal', ' Salary & Benefits']"
3054,Roche Diagnostics,3.7,1300,2,26,Pharma,201.0,128,Basel,['Salary & Benefits'],"['Promotions / Appraisal', ' Job Security', ' Work Satisfaction']"
3055,Adama,4.2,883,4,33,Agro Chemicals,201.0,15,Tel,"['Work Life Balance', ' Skill Development / Learning', ' Work Satisfaction']",['nan']
3056,Council of Scientific and Industrial Research,4.4,1100,0,11,Government,5.0,82,New delhi,"['Work Life Balance', ' Skill Development / Learning', ' Company Culture']","['Promotions / Appraisal', ' Job Security']"
3057,Clix Capital Services,3.8,1300,15,20,FinTech,501.0,8,Gurgaon,"['Skill Development / Learning', ' Salary & Benefits']",['nan']
3058,Cipla Health,4.3,1000,0,34,Pharma,10.0,11,Mumbai,"['Work Life Balance', ' Salary & Benefits', ' Company Culture']",['nan']
3059,AIG Hospital,4.2,1100,0,28,Healthcare,201.0,38,Hyderabad,"['Skill Development / Learning', ' Job Security', ' Company Culture']",['nan']
3060,McNROE,3.9,1100,6,28,FMCG,501.0,38,Kolkata,['nan'],['Promotions / Appraisal']
3061,Welspun Enterprises,4.1,1200,0,35,Engineering & Construction,1.0,48,Mumbai,"['Salary & Benefits', ' Skill Development / Learning', ' Company Culture']",['nan']
3062,Tradebulls,2.9,1500,16,17,Financial Services,11.0,15,Mumbai,['nan'],"['Job Security', ' Promotions / Appraisal', ' Work Satisfaction']"
